date,ticker,score,rank,volatility_60d,weight,risk_weight,normalized_weight,decile,sector,side
2021-09-08,AMZN,0.35506410788462583,2,0.15216419100822504,1.0,6.571848431448279,1.0,9,,long
2021-09-09,AAPL,0.3925015993011298,2,0.19835995778809964,1.0,5.041340052452833,1.0,9,,long
2021-09-10,META,0.4364732667317898,2,0.2387510503930288,1.0,4.188463248031007,1.0,9,,long
2021-09-13,META,0.43281087478431735,2,0.24030346937263192,1.0,4.161404754624361,1.0,9,,long
2021-09-14,AAPL,0.38727933116691743,2,0.19919713545125814,1.0,5.020152512407447,1.0,9,,long
2021-09-15,GOOGL,0.4670331990490309,2,0.261402200703408,1.0,3.82552249869778,1.0,9,,long
2021-09-16,MSFT,0.47240246476764514,2,0.16430732477820398,1.0,6.086155935834785,1.0,9,,long
2021-09-17,GOOGL,0.46719609760922315,2,0.26058870762588865,1.0,3.8374648276610634,1.0,9,,long
2021-09-20,GOOGL,0.4729564437562903,2,0.26029478404125084,1.0,3.8417980739926105,1.0,9,,long
2021-09-21,MSFT,0.3450592647246257,2,0.16370677786218318,1.0,6.1084825751188605,1.0,9,,long
2021-09-22,NVDA,0.3580715315764497,2,0.191424280751915,1.0,5.22399768760785,1.0,9,,long
2021-09-23,MSFT,0.3604235386600729,2,0.16407167023222385,1.0,6.094897422477747,1.0,9,,long
2021-09-24,NVDA,0.4636622937680368,2,0.17999178979118058,1.0,5.555808968621073,1.0,9,,long
2021-09-27,MSFT,0.32975136149198025,2,0.16294925527212567,1.0,6.136879842316539,1.0,9,,long
2021-09-28,MSFT,0.2308708426843696,2,0.16299299660087405,1.0,6.135232929355429,1.0,9,,long
2021-09-29,META,0.27536350007116467,2,0.21281132458898316,1.0,4.69899805346998,1.0,9,,long
2021-09-30,AAPL,0.2770524745266988,2,0.20622337433209412,1.0,4.849110840314536,1.0,9,,long
2021-10-01,AAPL,0.353845539027248,2,0.20537840625943216,1.0,4.869061057649892,1.0,9,,long
2021-10-04,AAPL,0.33578572811047885,2,0.20552196103114262,1.0,4.86566007341897,1.0,9,,long
2021-10-05,GOOGL,0.23105810138213134,2,0.2671496754275881,1.0,3.7432199698518955,1.0,9,,long
2021-10-06,AMZN,0.3047133291864556,2,0.16519658261580122,1.0,6.053393987729798,1.0,9,,long
2021-10-07,NVDA,0.22494808131129146,2,0.17214519998500133,1.0,5.80904957028792,1.0,9,,long
2021-10-08,MSFT,0.30311172102628076,2,0.15994633241899867,1.0,6.252097093294891,1.0,9,,long
2021-10-11,NVDA,0.27428399735194026,2,0.17790833337581308,1.0,5.6208721706565745,1.0,9,,long
2021-10-12,NVDA,0.28221820249725865,2,0.17778632577189196,1.0,5.624729549127676,1.0,9,,long
2021-10-13,NVDA,0.31141149759387166,2,0.1778467476551352,1.0,5.622818596261947,1.0,9,,long
2021-10-14,NVDA,0.27407494555252065,2,0.1790129057416807,1.0,5.586189419454598,1.0,9,,long
2021-10-15,AMZN,0.312121491444383,2,0.16070695760798773,1.0,6.222505950484725,1.0,9,,long
2021-10-18,AAPL,0.2542968348925178,2,0.2151316721476933,1.0,4.648316029047898,1.0,9,,long
2021-10-19,AAPL,0.3249810735250434,2,0.20601859286369723,1.0,4.853930832648703,1.0,9,,long
2021-10-20,AAPL,0.3960038729041858,2,0.20531025023644908,1.0,4.870677420383701,1.0,9,,long
2021-10-21,NVDA,0.4433617506195653,2,0.1798008055503625,1.0,5.561710343505098,1.0,9,,long
2021-10-22,META,0.416011770062028,2,0.21463206592004583,1.0,4.659136069502855,1.0,9,,long
2021-10-25,NVDA,0.3020161934127818,2,0.1786005324032633,1.0,5.599087452561975,1.0,9,,long
2021-10-26,AAPL,0.3985833149562044,2,0.20494307523558855,1.0,4.879403701981481,1.0,9,,long
2021-10-27,META,0.4062797804784821,2,0.21539467544837665,1.0,4.642640297019174,1.0,9,,long
2021-10-28,AAPL,0.4157786354826325,2,0.20394962292728164,1.0,4.903171605061268,1.0,9,,long
2021-10-29,AMZN,0.22869880177903062,2,0.1660965419917583,1.0,6.020594938392034,1.0,9,,long
2021-11-01,AMZN,0.16819332882736499,2,0.1666945354024357,1.0,5.998996893244217,1.0,9,,long
2021-11-02,NVDA,0.26670783981263757,2,0.18561338887120565,1.0,5.387542386254717,1.0,9,,long
2021-11-03,GOOGL,0.4000412417504121,2,0.29528726974952507,1.0,3.386532717269666,1.0,9,,long
2021-11-04,AAPL,0.4361463952419537,2,0.21128357897114472,1.0,4.732975486640026,1.0,9,,long
2021-11-05,NVDA,0.36143818974417186,2,0.18811929963142976,1.0,5.315775691060071,1.0,9,,long
2021-11-08,META,0.34470416953918187,2,0.22675844527109681,1.0,4.409979080622416,1.0,9,,long
2021-11-09,GOOGL,0.12592972948939643,2,0.2935221068973534,1.0,3.406898412424201,1.0,9,,long
2021-11-10,META,0.2900645379379518,2,0.23152845162011426,1.0,4.319123602315509,1.0,9,,long
2021-11-11,AAPL,0.12306839071444986,2,0.2026725346606208,1.0,4.934067665727475,1.0,9,,long
2021-11-12,AAPL,0.2715333832760429,2,0.20315104591736383,1.0,4.922445737280487,1.0,9,,long
2021-11-15,NVDA,0.2684135852952117,2,0.18778571565227817,1.0,5.325218675587097,1.0,9,,long
2021-11-16,NVDA,0.18653950578978792,2,0.1887581619280199,1.0,5.29778415823595,1.0,9,,long
2021-11-17,NVDA,0.2800461872326656,2,0.18289604354956543,1.0,5.46758683562773,1.0,9,,long
2021-11-18,NVDA,0.12139083958182423,2,0.18379197757312754,1.0,5.440933892787121,1.0,9,,long
2021-11-19,NVDA,0.28567692964138225,2,0.18455595098477515,1.0,5.418411027463939,1.0,9,,long
2021-11-22,NVDA,0.2599886340478085,2,0.1836067151395253,1.0,5.446423891632101,1.0,9,,long
2021-11-23,NVDA,0.2337131628598078,2,0.1831071475668773,1.0,5.461283261128647,1.0,9,,long
2021-11-24,AAPL,0.29582802146414466,2,0.19943209725232058,1.0,5.01423799768201,1.0,9,,long
2021-11-25,AAPL,0.2133028921633911,2,0.20637469482276805,1.0,4.845555318004406,1.0,9,,long
2021-11-26,AAPL,0.47162085923658265,2,0.21062067346918859,1.0,4.747872008614998,1.0,9,,long
2021-11-29,AAPL,0.3509684716880664,2,0.21343120931940573,1.0,4.685350390830013,1.0,9,,long
2021-11-30,AAPL,0.41399231886334215,2,0.21445458835241302,1.0,4.662991860806918,1.0,9,,long
2021-12-01,NVDA,0.45854990553928626,2,0.18699916842851008,1.0,5.3476173632413815,1.0,9,,long
2021-12-02,GOOGL,0.46293402565239483,2,0.2843415430434406,1.0,3.5168972823898046,1.0,9,,long
2021-12-03,GOOGL,0.4520692846397807,2,0.2844781782282692,1.0,3.51520811272064,1.0,9,,long
2021-12-06,MSFT,0.4706864953387356,2,0.13338387183795639,1.0,7.4971582862346855,1.0,9,,long
2021-12-07,GOOGL,0.4799829249815641,2,0.29189215916894723,1.0,3.4259227889064325,1.0,9,,long
2021-12-08,AAPL,0.4778896868513192,2,0.23590546913975,1.0,4.238986080511774,1.0,9,,long
2021-12-09,GOOGL,0.46089551754801455,2,0.2925037642834484,1.0,3.418759421608531,1.0,9,,long
2021-12-10,GOOGL,0.4726558603687941,2,0.2850975120814218,1.0,3.507571822353915,1.0,9,,long
2021-12-13,AAPL,0.45759400783492954,2,0.2385411714358344,1.0,4.192148441213603,1.0,9,,long
2021-12-14,GOOGL,0.4810431577106487,2,0.29568948121029526,1.0,3.3819261879281965,1.0,9,,long
2021-12-15,GOOGL,0.4785526452509813,2,0.2967203790332721,1.0,3.370176336583431,1.0,9,,long
2021-12-16,GOOGL,0.4186229080333699,2,0.29984038818718584,1.0,3.335107741975424,1.0,9,,long
2021-12-17,GOOGL,0.4121495847053633,2,0.29942704989637015,1.0,3.33971162707609,1.0,9,,long
2021-12-20,GOOGL,0.45836293124371635,2,0.298705698871514,1.0,3.3477767708413975,1.0,9,,long
2021-12-21,GOOGL,0.39498307924518883,2,0.3005807027388899,1.0,3.3268935460194378,1.0,9,,long
2021-12-22,MSFT,0.41936023879554923,2,0.1308097909485644,1.0,7.644687700733419,1.0,9,,long
2021-12-23,MSFT,0.3816310036925088,2,0.132164992810087,1.0,7.566300112745731,1.0,9,,long
2021-12-24,NVDA,0.430739615637647,2,0.18582206756112643,1.0,5.3814921614250615,1.0,9,,long
2021-12-27,MSFT,0.4191879063647225,2,0.130007956536211,1.0,7.691836920161658,1.0,9,,long
2021-12-28,NVDA,0.39989303315924174,2,0.1860351123740448,1.0,5.375329351748319,1.0,9,,long
